AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$9,900"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$33,777"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$13,500"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,$824
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$2,100"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$5,739"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$13,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$2,664"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$18,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$30,500"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$3,919"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$9,700"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$56,981"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$69,900"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$2,301"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$5,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$2,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$3,409"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$8,100"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,HAWAII DEPARTMENT OF HEALTH,State - Health Department,3/6/2025,"$35,300"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$39,500"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$97,200"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$18,300"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$22,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$9,500"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$33,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$21,300"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$2,400"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$6,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$30,323"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$11,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$19,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$10,800"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$5,300"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$2,300"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$27,900"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$11,200"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$156,900"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$6,800"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$21,195"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$17,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$10,700"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$14,100"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$60,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$6,800"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$4,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$4,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$36,400"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$34,900"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/6/2025,"$5,334"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/6/2025,"$18,615"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/6/2025,"$14,487"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/6/2025,"$8,911"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/6/2025,"$27,435"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/6/2025,"$10,822"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/6/2025,"$1,509"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/6/2025,"$20,740"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/6/2025,"$2,200"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/6/2025,"$8,719"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/6/2025,$661
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/6/2025,$451
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$15,076"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$2,946"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$21,391"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$21,612"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$694
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$39,294"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$16,632"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$604
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$424
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$68,765"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$8,341"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$38,413"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$14,609"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$13,530"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$15,865"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$32,430"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$156,226"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$34,754"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$4,615"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$358,361"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$16,827"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$1,708"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$32,406"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$7,738"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,$50
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$10,251"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$2,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$34,042"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$33,609"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$173,330"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$32,668"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$10,200"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$3,438"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$132,324"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$2,220"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$211,491"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$35,569"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$74,110"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,$893
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$83,588"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$985,824"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$81,947"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$14,420"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$30,217"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$465,288"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$2,283"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$11,267"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,$735
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$1,369"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$10,965"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$3,441"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$72,741"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$17,017"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$267,144"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$121,485"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$37,185"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$11,690"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$6,460"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$49,602"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$104,723"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/6/2025,"$21,977"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$6,315"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$145,733"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$19,729"
